pmid,gene_id,gene_text,title,journal
20803085,820752,AtERF4,Overexpression of the ethylene-responsive factor gene BrERF4 from Brassica rapa increases tolerance to salt and drought in Arabidopsis plants.,Mol Cells. 2010 Sep
20803085,828714,ABI1,Overexpression of the ethylene-responsive factor gene BrERF4 from Brassica rapa increases tolerance to salt and drought in Arabidopsis plants.,Mol Cells. 2010 Sep
20803085,835809,ABI2,Overexpression of the ethylene-responsive factor gene BrERF4 from Brassica rapa increases tolerance to salt and drought in Arabidopsis plants.,Mol Cells. 2010 Sep
20803085,820314,AtPP2CA,Overexpression of the ethylene-responsive factor gene BrERF4 from Brassica rapa increases tolerance to salt and drought in Arabidopsis plants.,Mol Cells. 2010 Sep
20805328,838470,calcium-dependent protein kinase,Arabidopsis calcium-dependent protein kinase CPK10 functions in abscisic acid- and Ca2+-mediated stomatal regulation in response to drought stress.,Plant Physiol. 2010 Nov
20805328,827140,HSP1,Arabidopsis calcium-dependent protein kinase CPK10 functions in abscisic acid- and Ca2+-mediated stomatal regulation in response to drought stress.,Plant Physiol. 2010 Nov
20822503,835052,AtCLCc,"The Arabidopsis vacuolar anion transporter, AtCLCc, is involved in the regulation of stomatal movements and contributes to salt tolerance.",Plant J. 2010 Nov
20884812,828444,AtAIRP1,The Arabidopsis C3H2C3-type RING E3 ubiquitin ligase AtAIRP1 is a positive regulator of an abscisic acid-dependent response to drought stress.,Plant Physiol. 2010 Dec
20930557,836431,HDA6,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,829969,HDA19,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,6240301,histone deacetylase,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
20930557,828714,ABI1,Role of histone deacetylases HDA6 and HDA19 in ABA and abiotic stress response.,Plant Signal Behav. 2010 Oct
