Gene symbol,Gene name,Synonyms,Chromosome,NCBI Identifier,RAP Identifier,Oryzabase Trait Gene ID,MSU_Locus tag,NCBI_Locus tag,Reference,Reference_title,Description,PMID
OsSPL10,Squamosa promoter-binding-like protein 10,"OsSST, seedling salt tolerant",6,4341729,Os06g0659100,6893,LOC_Os06g44860,OSNPB_060659100,"Li, Yingxiu, et al. 2023",Variations in OsSPL10 confer drought tolerance by directly regulating OsNAC2 expression and ROS production in rice.,"OsSPL10 appears to play a vital role in drought tolerance by controlling reactive oxygen species (ROS) production and stomatal movements. knockout of OsSPL10 induced fast stomatal closure and prevented water loss, thereby improving drought tolerance in rice. ",36401566
OsDSR2,DUF966-stress repressive gene 2,protein SOSEKI 5,1,4327381,Os01g0839200 ,15439,LOC_Os01g62200,OSNPB_010839200,"Luo, Chengke, et al. 2023",The suppressed expression of a stress responsive gene 'OsDSR2' enhances rice tolerance in drought and salt stress.,OsDSR2 knockdown exhibited improved salt and drought stress tolerance. OsDSR2 negatively affected rice's ability to withstand salt and drought.,36682133
OsWRKY76 ,WRKY transcription factor 76,-,9,4347069,Os09g0417600,6591,LOC_Os09g25060,OSNPB_090417600,"Zhang, Mingxing, et al. 2023",OsWRKY76 positively regulates drought stress via OsbHLH148-mediated jasmonate signaling in rice.,OsWRKY76 knockout weakened drought tolerance at the seedling stage and decreased MeJA sensitivity. ,37089644
OsIPA1,Ideal Plant Architecture 1,"OsSPL14/WFP, Squamosa promoter-binding-like protein 14, Wealthy Farmer's Panicle",8,4345998,Os08g0509600,8877,LOC_Os08g39890,OSNPB_080509600,"Chen, Feihe, et al. 2023",IPA1 improves drought tolerance by activating SNAC1 in rice.,"IPA1-knockout plants showed much greater accumulation of H2O2 as measured by 3,3'-diaminobenzidine staining in leaves compared with WT plants. IPA1 plays a positive role in drought-stress tolerance by inducing reactive oxygen species scavenging in rice. ",36698063
OsANN9,Annexin 9,"OsANN4, Annexin 4, annexin  D3",5,4338646,Os05g0382900,15467,LOC_Os05g31760,OSNPB_050382900,"Jia, Yangyang, et al. 2023",Rice OsANN9 Enhances Drought Tolerance through Modulating ROS Scavenging Systems.,"Rice annexin protein, OsANN9, which in addition to regular annexin repeats and type-II Ca2+ binding sites, also consists of a C2H2-type zinc-finger domain. plants that overexpressed OsANN9 had increased survival rates under drought stress. In addition, the overexpression of OsANN9 increased superoxide dismutase (SOD), peroxidase (POD) and catalase (CAT) activities, which regulate reactive oxygen species homeostasis. ",38139326
OsGSTU17,TAU Glutathione S-transferase 17,"OsGST23, Glutathione S-transferase 23",9,4347319,Os09g0467200,7268,LOC_Os09g29200,OSNPB_090467200,"Li, Jinyan, et al. 2023","OsGSTU17, a Tau Class Glutathione S-Transferase Gene, Positively Regulates Drought Stress Tolerance in Oryza sativa.","Under drought conditions, compared with the WT, the expressions of the drought stress-related genes OsNAC10, OsDREB2A, OsAP37, OsP5CS1, OsRAB16C, OsPOX1, OsCATA, and OsCATB in the osgtu17 mutant lines were significantly decreased. Knocking out OsGSTU17 significantly reduced the drought tolerance of rice.",37687412
OsAPX7,Ascorbate Peroxidase 7,-,4,4335896,Os04g0434800,8957,LOC_Os04g35520,OSNPB_040434800,"Jardim-Messeder, Douglas, et al. 2023",Stromal ascorbate peroxidase (OsAPX7) modulates drought stress tolerance in rice (Oryza sativa).,"Under drought stress, silenced plants (APX7i) show a higher capacity to maintain stomata aperture and photosynthesis performance, resulting in a higher tolerance when compared to non-transformed plants. During drought stress, APX7i showed an up-regulation of genes encoding flavonoid and tyrosine metabolism enzymes and a down-regulation of genes related to phytohormones signal transduction and nicotinate and nicotinamide metabolism. ",36829946
OsSAPK3,stress/ABA-activated protein kinase 3,"REK, rice endosperm protein kinase, OsSnRK2.3, Sucrose nonfermenting-1-related protein kinase 2.3",10,4349411,Os10g0564500,9811,LOC_Os10g41490,OSNPB_100564500,"Lou, Dengji, et al. 2023",Molecular characterization reveals that OsSAPK3 improves drought tolerance and grain yield in rice.,"The expression of OsSAPK3 was up regulated by drought, NaCl, PEG and ABA. under drought conditions, mutants showed more intolerance to drought, including decreased survival rate, increased water loss rate, increased stomatal conductance and significantly decreased expression levels of SLAC1 and SLAC7. OsSAPK3 could improve rice yield by indirectly regulating tiller number and grain size. ",36694135
OsSOS2 ,Salt overly sensitive 2,"OsCIPK24, OsSnRK3.22CBL-interacting protein kinase 24, low-cesium rice mutant 1, Sucrose nonfermenting-1-related protein kinase 3.22",6,4341477,Os06g0606000,7412,LOC_Os06g40370,OSNPB_060606000,"Kumar, Gautam, et al. 2022",Unraveling the contribution of OsSOS2 in conferring salinity and drought tolerance in a high‐yielding rice.,"OsSOS2, a SOS2 homolog from rice, improves salinity and drought tolerance.",35092312
OsSGT1,Suppressor of the G2 allele of skp1,subunit of the SCF ubiquitin ligase complex,1,4326682,Os01g0624500,11520,LOC_Os01g43540,OSNPB_010624500,"Li, Ruiqing, et al. 2022",Melatonin promotes SGT1-involved signals to ameliorate drought stress adaption in rice.,OsSGT1 was involved in the drought response of rice and melatonin promoted SGT1-involved signals to ameliorate drought stress adaption.,35054782
