Gene symbol,Gene name,Synonyms,Chromosome,TAIR Identifier,TAIR Accession,NCBI Identifier,UniProt,Reference,Reference_title,Description,PMID
NF-YA5,Nuclear Factor Y subunit A5,-,1,AT1G54160,2014375,841856,Q9SYH4,"Li, Wen-Xue, et al. 2008",The Arabidopsis NFYA5 transcription factor is regulated transcriptionally and posttranscriptionally to promote drought resistance.,"NFYA5 transcript is strongly induced by drought stress in an abscisic acid (ABA)-dependent manner. NFYA5 contains a target site for miR169, which targets mRNAs for cleavage or translational repression. nfya5 knockout plants and plants overexpressing miR169a showed enhanced leaf water loss and were more sensitive to drought stress than wild-type plants. NFYA5 is important for drought resistance, and its induction by drought stress occurs at both the transcriptional and posttranscriptional levels.",18682547
HRD,HARDY,"Ethylene-responsive transcription factor ERF024, Integrase-type DNA-binding superfamily protein",2,AT2G36450,2044845,818219, Q9SJR0 ,"Karaba, Aarati, et al. 2007","Improvement of water use efficiency in rice by expression of HARDY, an Arabidopsis drought and salt tolerance gene.","Overexpression of HRD increases the density of the root network and improves water and salt stress tolerance in Arabidopsis. Overexpression of HRD in rice causes an increase in plant biomass and improves drought resistance and WUE. The HRD gene, an AP2/ERF-like transcription factor, identified by a gain-of-function Arabidopsis mutant hrd-D having roots with enhanced strength, branching, and cortical cells, exhibits drought resistance and salt tolerance, accompanied by an enhancement in the expression of abiotic stress associated genes.",17881564
CBF4,C-REPEAT-BINDING FACTOR 4,DREB1D,5,AT5G51990,2173113,835274, Q9FJ93 ,"Haake, Volker, et al. 2002",Transcription factor CBF4 is a regulator of drought adaptation in Arabidopsis.,Overexpression of CBF4 in transgenic Arabidopsis plants results in the activation of C-repeat/dehydration-responsive element containing downstream genes that are involved in cold acclimation and drought adaptation. CBF4 Overexpression Results in Plants That Are More Freezing and Drought Tolerant.,12376631
AtJAZ7,Jasmonate-Zim-Domain Protein 7,TIFY5B,2,AT2G34600,2062345,818025, O64687,"Meng, Li, et al. 2019",Comparative proteomics and metabolomics of JAZ7-mediated drought tolerance in Arabidopsis.,"Overexpression of AtJAZ7 in Arabidopsis improves drought tolerance by regulating photosynthesis, redox, antioxidant, and metabolic pathways involving amino acids, plant hormones, and defense metabolites.",30731210
ZAT18,C2H2-type zinc finger family protein,-,3,AT3G53600,2084046,824528, Q9LFG0,"Yin, Mingzhu, et al. 2017",The Arabidopsis Cys2/His2 zinc finger transcription factor ZAT18 is a positive regulator of plant tolerance to drought stress.,"Overexpression (OE) of ZAT18 in Arabidopsis improved drought tolerance while mutation of ZAT18 resulted in decreased plant tolerance to drought stress. ZAT18 OE plants exhibited less leaf water loss, lower content of reactive oxygen species (ROS), higher leaf water content, and higher antioxidant enzyme activities after drought treatment when compared with the wild type (WT).",28586434
AtCPK23,Calcium Dependent Protein Kinase 23,-,4,AT4G04740,2138917,825809,F4JGW8,"Ma, Shu-Ying, and Wei-Hua Wu. 2007",AtCPK23 functions in Arabidopsis responses to drought and salt stresses.,"AtCPK23 improved the drought tolerance in Arabidopsis by behaving as a negative regulator of abiotic stress signaling. The results of stomatal aperture measurement showed that the disruption of AtCPK23 expression reduced stomatal apertures, while overexpression of AtCPK23 increased stomatal apertures.",17541706
AtCPK6,calcium dependent protein kinase 6,AtCDPK3,2,AT2G17290,2827528,816235,Q38872,"Xu, Jing, et al. 2010","AtCPK6, a functionally redundant and positive regulator involved in salt/drought stress tolerance in Arabidopsis.",Over-expression of AtCPK6 in Arabidopsis led to enhanced drought tolerance.,20217124
AtCPK10,calcium dependent protein kinase 10,AtCDPK1,1,AT1G18890,2011201,838470,A0A654EC48,"Zou, Jun-Jie, et al. 2010",Arabidopsis calcium-dependent protein kinase CPK10 functions in abscisic acid-and Ca2+-mediated stomatal regulation in response to drought stress.,CPK10 overexpression lines displayed enhanced tolerance to drought stress. Induction of stomatal closure and inhibition of stomatal opening by abscisic acid (ABA) and Ca(2+) were impaired in the cpk10 mutants. Evidences also indicated the participation of AtCPK10 in ABA-responsive drought tolerance.,20805328
WIN1/SHN1,Wax Inducer 1/Shine 1,Integrase-type DNA-binding superfamily protein,1,AT1G15360,2037698,838105,A0A178WNC4,"Kannangara, Rubini, et al. 2007",The transcription factor WIN1/SHN1 regulates cutin biosynthesis in Arabidopsis thaliana.,"Overexpression of WIN1/SHN1 increases wax production, modulate cuticular permeability, and enhances the drought tolerance in Arabidopsis. WIN1/SHN encodes an APETALA2/EREBP-type transcription factor.",17449808
AtCPK12,calcium dependent protein kinase 12,CDPK9,5,AT5G23580,2171726,832424,Q42396,"Zhao, Rui, et al. 2011",The Arabidopsis Ca2+‐dependent protein kinase CPK12 negatively regulates abscisic acid signaling in seed germination and post‐germination growth.,AtCPK12 has been categorized as a negative ABA signaling pathway regulator,21692804
AtGRXS17,Monothiol glutaredoxin 17,thioredoxin family protein,4,AT4G04950,2135363,825835,Q9ZPH2,"Wu, Qingyu et al. 2017","Expression of a monothiol glutaredoxin, AtGRXS17, in tomato (Solanum lycopersicum) enhances drought tolerance.",Ectopic expression of AtGRXS17 enhances drought stress tolerance in tomato. AtGRXS17-expressing tomato plants reduce excessive ROS accumulation.,28780355
AtWRKY57,WRKY DNA-binding protein 57,-,1,AT1G69310,2007081,843262,Q147N6,"Jiang, Yanjuan et al. 2016",Heterologous Expression of AtWRKY57 Confers Drought Tolerance in Oryza sativa.,"Overexpressing AtWRKY57 enhanced drought tolerance in Arabidopsis thaliana. Arabidopsis WRKY57 transcription factor was able to confer drought tolerance to transgenic rice (Oryza sativa) plants. The enhanced drought tolerance of transgenic rice was resulted from the lower water loss rates, cell death, malondialdehyde contents and relative electrolyte leakage while a higher proline content and reactive oxygen species-scavenging enzyme activities was observed during stress conditions.",26904091
AtDBP1,DNA-binding protein phosphatase 1,-,2,AT2G25620,2050296,817102,A0A178VZ04,"Jiao, Shuang et al. 2020",Phosphatase AtDBP1 negatively regulates drought and salt tolerance through altering leaf surface permeability in Arabidopsis.,Overexpression of AtDBP1 negatively regulates drought stress by decreasing cuticle wax accumulation and cuticle membrane thickness.,32342434
AtSAP5,Stress-associated protein 5,A20/AN1 zinc-finger protein,3,AT3G12630,2101217,820443,Q9LHJ8,"Kang, Miyoung et al. 2011",Arabidopsis SAP5 functions as a positive regulator of stress responses and exhibits E3 ubiquitin ligase activity.,"AtSAP5 functions as an E3 ubiquitin ligase and interacts with C-MYC BINDING PROTEIN (AtMBP-1), promoting its proteolysis, and therefore plays a role as a positive regulator of drought stress responses.",21293909
AtbHLH68 ,BASIC HELIX LOOP HELIX 68,"PERICYCLE FACTOR TYPE-A 3, PFA3",4,AT4G29100,2119901,829031,A0A178V0M1,"Le Hir, Rozenn et al. 2017",AtbHLH68 transcription factor contributes to the regulation of ABA homeostasis and drought stress tolerance in Arabidopsis thaliana.,"AtbHLH68 overexpressing lines displayed defects in lateral root (LR) formation and a significant increased tolerance to drought stress, likely related to an enhanced sensitivity to abscisic acid (ABA) and/or increased ABA content. ",28369972
AtPYL9,Pyrabactin resistance 1-like 9,"RCAR1, REGULATORY COMPONENT OF ABA RECEPTOR 1",1,AT1G01360,2035227,838452,A0A178W4H4,"Zhao, Yang et al. 2016",ABA receptor PYL9 promotes drought resistance and leaf senescence.,"PYL9 promotes drought resistance by not only limiting transpirational water loss but also, causing summer dormancy-like responses, such as senescence, in old leaves and growth inhibition in young tissues under severe drought conditions. PYL9 Confers Drought Resistance to Both Arabidopsis and Rice.",26831097
AtMYB44,MYB domain protein 44,AtMYBR1,5,AT5G67300,2158212,836865,A0A178UQ74,"Jung, Choonkyun et al. 2008",Overexpression of AtMYB44 enhances stomatal closure to confer abiotic stress tolerance in transgenic Arabidopsis.,"Transgenic Arabidopsis overexpressing AtMYB44 is more sensitive to ABA and has a more rapid ABA-induced stomatal closure response than wild-type and atmyb44 knockout plants. Transgenic plants exhibited a reduced rate of water loss, as measured by the fresh-weight loss of detached shoots, and remarkably enhanced tolerance to drought and salt stress compared to wild-type plants.",18162593
